ticker,name,exchange,currency,price,market_cap_usd,dollar_volume_usd,first_trade,fifty_two_week_high,pulled,source
FTT.TO,Finning International Inc.,TOR,CAD,90.06,8526688276.0,31119366.0,1995-01-12,109.58,2026-09-04,Yahoo Finance screener via yfinance
ESI,Element Solutions Inc,NYQ,USD,34.98,8524307968.0,177506430.0,2013-10-22,49.25,2026-09-04,Yahoo Finance screener via yfinance
AAOI,"Applied Optoelectronics, Inc.",NGM,USD,100.38,8522892800.0,1154483931.0,2013-09-26,233.67,2026-09-04,Yahoo Finance screener via yfinance
CNM,"Core & Main, Inc.",NYQ,USD,43.98,8511890432.0,103475748.0,2021-07-22,67.18,2026-09-04,Yahoo Finance screener via yfinance
COMP,"Compass, Inc.",NYQ,USD,11.06,8490149888.0,141139646.0,2021-04-01,13.955,2026-09-04,Yahoo Finance screener via yfinance
REXR,"Rexford Industrial Realty, Inc.",NYQ,USD,37.01,8461761024.0,99205564.0,2013-07-19,44.38,2026-09-04,Yahoo Finance screener via yfinance
FR,"First Industrial Realty Trust, Inc.",NYQ,USD,61.71,8455440896.0,66309370.0,1994-06-24,69.88,2026-09-04,Yahoo Finance screener via yfinance
CS.TO,Capstone Copper Corp.,TOR,CAD,15.23,8436991003.0,36334004.0,1996-08-08,18.04,2026-09-04,Yahoo Finance screener via yfinance
RHP,"Ryman Hospitality Properties, Inc.",NYQ,USD,122.25,8433329152.0,89169150.0,1991-10-24,137.46,2026-09-04,Yahoo Finance screener via yfinance
TKR,The Timken Company,NYQ,USD,121.09,8391154176.0,117747311.0,1973-02-21,146.37,2026-09-04,Yahoo Finance screener via yfinance
SNEX,StoneX Group Inc.,NMS,USD,69.54,8387687936.0,87178821.0,1995-03-06,94.66,2026-09-04,Yahoo Finance screener via yfinance
CBSH,"Commerce Bancshares, Inc.",NMS,USD,58.37,8372135936.0,67789517.0,1980-03-17,60.92,2026-09-04,Yahoo Finance screener via yfinance
BOKF,BOK Financial Corporation,NMS,USD,137.35,8346329600.0,34327886.0,1991-09-05,146.84,2026-09-04,Yahoo Finance screener via yfinance
LAD,"Lithia Motors, Inc.",NYQ,USD,378.98,8331161600.0,112013603.0,1996-12-18,439.49,2026-09-04,Yahoo Finance screener via yfinance
VIAV,Viavi Solutions Inc.,NMS,USD,33.63,8298196992.0,207785713.0,1993-11-17,60.43,2026-09-04,Yahoo Finance screener via yfinance
