ticker,close,date
KNT.TO,29.03,2026-09-21
KNTK,53.53,2026-09-21
KNX,65.715,2026-09-21
KO,87.86,2026-09-21
KR,60.23,2026-09-21
KRC,34.33,2026-09-21
KRG,25.19,2026-09-21
KRYS,334.75,2026-09-21
KSS,17.76,2026-09-21
KT,19.565,2026-09-21
KTB,66.71,2026-09-21
KTOS,49.095,2026-09-21
KVUE,17.705,2026-09-21
KWR,155.214,2026-09-21
KXS.TO,172.88,2026-09-21
KYMR,118.32,2026-09-21
L.TO,62.42,2026-09-21
LAD,319.42,2026-09-21
LAMR,145.71,2026-09-21
LASR,40.21,2026-09-21
LAUR,36.37,2026-09-21
LBRT,18.82,2026-09-21
LBTYA,10.01,2026-09-21
LCII,86.87,2026-09-21
LDOS,128.81,2026-09-21
LEA,121.0,2026-09-21
LECO,259.39,2026-09-21
LEGN,18.39,2026-09-21
LEN,78.24,2026-09-21
LEU,154.53,2026-09-21
LEVI,19.74,2026-09-21
LFST,12.58,2026-09-21
LFUS,409.335,2026-09-21
LGND,287.88,2026-09-21
LH,322.82,2026-09-21
LHX,247.83,2026-09-21
LII,365.665,2026-09-21
LIN,458.55,2026-09-21
LION,11.49,2026-09-21
LITE,968.0902,2026-09-21
LIVN,77.07,2026-09-21
LKQ,23.345,2026-09-21
LLY,1159.0,2026-09-21
LMT,537.11,2026-09-21
LNG,272.7899,2026-09-21
LNR.TO,97.23,2026-09-21
LNT,65.16,2026-09-21
LNTH,100.41,2026-09-21
LOGI,104.5077,2026-09-21
LOPE,152.01,2026-09-21
LOW,192.38,2026-09-21
LPG,56.97,2026-09-21
LPX,65.445,2026-09-21
LQDA,66.71,2026-09-21
LRCX,300.57,2026-09-21
LRN,79.35,2026-09-21
LSCC,118.4,2026-09-21
LSTR,169.415,2026-09-21
LTC,43.06,2026-09-21
LTH,40.63,2026-09-21
LUG.TO,91.935,2026-09-21
LULU,102.1,2026-09-21
LUMN,6.43,2026-09-21
LUN.TO,34.38,2026-09-21
LUNR,15.665,2026-09-21
LUV,41.32,2026-09-21
LVS,40.31,2026-09-21
LW,47.36,2026-09-21
LXP,60.835,2026-09-21
LYB,60.55,2026-09-21
